date,exercise,lose weight,depression,weight loss,isPartial
2011-04-01,64,39,57,36,False
2011-04-02,58,54,24,38,False
2011-04-03,64,53,47,41,False
2011-04-04,100,59,69,60,False
2011-04-05,96,43,57,67,False
2011-04-06,76,51,46,40,False
2011-04-07,94,47,50,52,False
2011-04-08,73,65,44,50,False
2011-04-09,61,44,31,55,False
2011-04-10,72,82,34,69,False
2011-04-11,100,47,49,53,False
2011-04-12,68,53,44,54,False
2011-04-13,95,50,62,61,False
2011-04-14,71,48,59,49,False
2011-04-15,68,49,59,37,False
2011-04-16,62,58,47,43,False
2011-04-17,65,59,57,37,False
2011-04-18,60,56,59,43,False
2011-04-19,86,46,38,61,False
2011-04-20,64,63,59,56,False
2011-04-21,61,38,45,33,False
2011-04-22,51,48,38,68,False
2011-04-23,48,41,41,55,False
2011-04-24,56,64,56,62,False
2011-04-25,60,61,68,59,False
2011-04-26,71,53,58,65,False
2011-04-27,63,50,46,57,False
2011-04-28,84,47,47,45,False
2011-04-29,70,28,38,38,False
2011-04-30,47,55,51,51,False
